	SAMEA115481004	SAMEA5577352	SAMEA115481003	SAMEA112769379	SAMEA112769386	SAMEA112769391	SAMEA112769398	SAMEA112769399	SAMEA112769401	SAMEA111531429	SAMEA111531430	SAMEA111531435	SAMEA111531436	SAMEA111531437	SAMEA111531439	SAMEA111531462	SAMEA111531490	SAMEA111531531	SAMEA111531538	SAMEA115112573	SAMEA115112585	SAMEA115112614	SAMEA115112619	SAMEA115112636	SAMEA10833845	SAMEA5159829	SAMEA5159830	IPCC01	IPCC02	IPCC03	IPCC04	IPCC05	IPCC06
SAMEA111531430	0.229213	0.172083	0.159141	0.128723	0.128302	0.127566	0.125854	0.126648	0.127819	0.12384	0	0.124939	0.126383	0.125823	0.123247	0.126075	0.126519	0.12702	0.12202	0.114214	0.12737	0.131763	0.142357	0.128161	0.12653	0.125593	0.127611	0.12116	0.121018	0.119205	0.121562	0.121458	0.121285
SAMEA111531435	0.227728	0.178092	0.151882	0.120767	0.120023	0.11869	0.116528	0.117986	0.118595	0.121247	0.124939	0	0.107401	0.114282	0.11173	0.117263	0.118751	0.117262	0.119675	0.135366	0.117341	0.120648	0.133272	0.118221	0.117688	0.115819	0.118136	0.112774	0.112654	0.110773	0.113049	0.113343	0.112926
SAMEA111531436	0.225673	0.178216	0.151843	0.12202	0.120539	0.119573	0.118113	0.119708	0.120233	0.122853	0.126383	0.107401	0	0.115211	0.113379	0.117713	0.119106	0.118903	0.121612	0.13673	0.118864	0.121806	0.133952	0.120051	0.117833	0.118062	0.119767	0.116419	0.116311	0.114256	0.116582	0.116815	0.116451
SAMEA111531437	0.220105	0.176741	0.151438	0.121497	0.120013	0.119285	0.117533	0.118567	0.119319	0.122578	0.125823	0.114282	0.115211	0	0.0611485	0.116606	0.118044	0.117249	0.120434	0.136289	0.117393	0.11435	0.13286	0.118753	0.110662	0.11704	0.119325	0.114277	0.114155	0.111988	0.114519	0.114508	0.114301
SAMEA111531439	0.227266	0.177279	0.153158	0.119208	0.118319	0.11717	0.114955	0.115831	0.116497	0.118986	0.123247	0.11173	0.113379	0.0611485	0	0.115228	0.116787	0.115209	0.116684	0.135072	0.115112	0.115161	0.131372	0.116058	0.109863	0.114682	0.117042	0.108627	0.108501	0.106471	0.108799	0.109021	0.108611
SAMEA111531462	0.223621	0.178023	0.150629	0.119892	0.118269	0.118002	0.114943	0.115868	0.116355	0.122664	0.126075	0.117263	0.117713	0.116606	0.115228	0	0.0928305	0.119907	0.11938	0.137013	0.119981	0.112607	0.131864	0.116804	0.107553	0.115893	0.117807	0.111832	0.111712	0.109467	0.112028	0.112064	0.111765
SAMEA111531490	0.223448	0.17845	0.151302	0.120929	0.119721	0.11852	0.115949	0.1168	0.117578	0.123876	0.126519	0.118751	0.119106	0.118044	0.116787	0.0928305	0	0.121514	0.121037	0.137752	0.120883	0.111092	0.131802	0.117527	0.109093	0.116726	0.119011	0.113352	0.11325	0.110996	0.113585	0.113457	0.113234
SAMEA111531531	0.224928	0.178083	0.15355	0.123752	0.122981	0.121619	0.120467	0.120863	0.121954	0.123844	0.12702	0.117262	0.118903	0.117249	0.115209	0.119907	0.121514	0	0.121759	0.137804	0.0869041	0.125381	0.135781	0.121523	0.119914	0.119182	0.121153	0.114988	0.114871	0.112792	0.115454	0.115358	0.114957
SAMEA111531538	0.228394	0.170424	0.156929	0.123761	0.122693	0.122809	0.120431	0.121019	0.121508	0.046964	0.12202	0.119675	0.121612	0.120434	0.116684	0.11938	0.121037	0.121759	0	0.133114	0.121479	0.127457	0.137092	0.122761	0.121206	0.119423	0.121326	0.111826	0.111705	0.109416	0.112117	0.112133	0.111556
SAMEA115112573	0.246498	0.174911	0.168647	0.139	0.138114	0.137245	0.137118	0.137029	0.138159	0.13279	0.114214	0.135366	0.13673	0.136289	0.135072	0.137013	0.137752	0.137804	0.133114	0	0.136866	0.140485	0.151541	0.137085	0.13755	0.136019	0.13786	0.135408	0.135225	0.133955	0.135827	0.135696	0.135575
SAMEA115112585	0.227555	0.178452	0.153484	0.123318	0.122808	0.122057	0.119858	0.121001	0.121741	0.123695	0.12737	0.117341	0.118864	0.117393	0.115112	0.119981	0.120883	0.0869041	0.121479	0.136866	0	0.123859	0.135059	0.12049	0.119383	0.119005	0.12155	0.115142	0.115027	0.112894	0.115541	0.115384	0.115264
SAMEA115112614	0.229013	0.182971	0.154621	0.125168	0.124023	0.12202	0.120421	0.121765	0.12298	0.127731	0.131763	0.120648	0.121806	0.11435	0.115161	0.112607	0.111092	0.125381	0.127457	0.140485	0.123859	0	0.135433	0.121095	0.108593	0.121404	0.1235	0.122781	0.122659	0.121113	0.123046	0.123304	0.122927
SAMEA115112619	0.250743	0.194761	0.168654	0.136171	0.134557	0.133406	0.129805	0.131446	0.132396	0.138465	0.142357	0.133272	0.133952	0.13286	0.131372	0.131864	0.131802	0.135781	0.137092	0.151541	0.135059	0.135433	0	0.0826001	0.133441	0.130228	0.132674	0.127596	0.127444	0.126199	0.127622	0.128186	0.127792
SAMEA115112636	0.223229	0.179032	0.150101	0.121522	0.120026	0.118615	0.116069	0.117405	0.117994	0.124741	0.128161	0.118221	0.120051	0.118753	0.116058	0.116804	0.117527	0.121523	0.122761	0.137085	0.12049	0.121095	0.0826001	0	0.118913	0.115023	0.117976	0.113501	0.113396	0.111193	0.113539	0.113805	0.113107
SAMEA10833845	0.221244	0.177454	0.150197	0.121522	0.119201	0.118495	0.11568	0.117549	0.118246	0.122787	0.12653	0.117688	0.117833	0.110662	0.109863	0.107553	0.109093	0.119914	0.121206	0.13755	0.119383	0.108593	0.133441	0.118913	0	0.116871	0.118968	0.115324	0.115229	0.112893	0.115447	0.11551	0.115167
SAMEA5159829	0.220022	0.177435	0.149149	0.11895	0.117698	0.117443	0.11466	0.115652	0.115598	0.121997	0.125593	0.115819	0.118062	0.11704	0.114682	0.115893	0.116726	0.119182	0.119423	0.136019	0.119005	0.121404	0.130228	0.115023	0.116871	0	0.05527	0.108675	0.108556	0.106436	0.109046	0.109126	0.108592
SAMEA5159830	0.22081	0.178463	0.150355	0.121112	0.119794	0.119242	0.115927	0.117228	0.117811	0.123996	0.127611	0.118136	0.119767	0.119325	0.117042	0.117807	0.119011	0.121153	0.121326	0.13786	0.12155	0.1235	0.132674	0.117976	0.118968	0.05527	0	0.110506	0.11037	0.108224	0.110563	0.110678	0.110321
IPCC01	0.22121	0.177026	0.149959	0.117629	0.116748	0.116603	0.112174	0.111617	0.111083	0.120043	0.12116	0.112774	0.116419	0.114277	0.108627	0.111832	0.113352	0.114988	0.111826	0.135408	0.115142	0.122781	0.127596	0.113501	0.115324	0.108675	0.110506	0	0.00104495	0.00873646	0.00820181	0.0100472	0.0098418
IPCC02	0.220635	0.176795	0.149723	0.117509	0.116644	0.116497	0.112062	0.111504	0.110956	0.119915	0.121018	0.112654	0.116311	0.114155	0.108501	0.111712	0.11325	0.114871	0.111705	0.135225	0.115027	0.122659	0.127444	0.113396	0.115229	0.108556	0.11037	0.00104495	0	0.00854113	0.0079503	0.00980478	0.0096511
IPCC03	0.22479	0.176945	0.14962	0.115648	0.114464	0.114614	0.109609	0.109165	0.108563	0.117576	0.119205	0.110773	0.114256	0.111988	0.106471	0.109467	0.110996	0.112792	0.109416	0.133955	0.112894	0.121113	0.126199	0.111193	0.112893	0.106436	0.108224	0.00873646	0.00854113	0	0.0079785	0.00958906	0.00883367
IPCC04	0.221735	0.177287	0.150316	0.117891	0.116953	0.116891	0.112094	0.112043	0.111359	0.12019	0.121562	0.113049	0.116582	0.114519	0.108799	0.112028	0.113585	0.115454	0.112117	0.135827	0.115541	0.123046	0.127622	0.113539	0.115447	0.109046	0.110563	0.00820181	0.0079503	0.0079785	0	0.0101801	0.00869088
IPCC05	0.222068	0.177501	0.150408	0.118076	0.11687	0.116981	0.112215	0.111813	0.111247	0.120113	0.121458	0.113343	0.116815	0.114508	0.109021	0.112064	0.113457	0.115358	0.112133	0.135696	0.115384	0.123304	0.128186	0.113805	0.11551	0.109126	0.110678	0.0100472	0.00980478	0.00958906	0.0101801	0	0.00983413
IPCC06	0.22267	0.177436	0.150488	0.117684	0.116641	0.116617	0.111854	0.111578	0.110812	0.119813	0.121285	0.112926	0.116451	0.114301	0.108611	0.111765	0.113234	0.114957	0.111556	0.135575	0.115264	0.122927	0.127792	0.113107	0.115167	0.108592	0.110321	0.0098418	0.0096511	0.00883367	0.00869088	0.00983413	0
